City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
99,Hobyo,SO,83.35,clear sky,5.3505,48.5268,Iftin hotel hobyo
100,Mahebourg,MU,76.24,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
102,Kloulklubed,PW,82.81,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
103,Caruray,PH,78.06,overcast clouds,10.3094,119.0128,
108,Danville,US,78.44,scattered clouds,36.586,-79.395,"Holiday Inn Express Danville, an IHG Hotel"
109,Pitimbu,BR,82.96,broken clouds,-7.4706,-34.8086,Reserva do Abiaí
114,Pilar,BR,84.13,overcast clouds,-9.5972,-35.9567,Pousada e churrascaria Manguaba
118,Kruisfontein,ZA,70.88,few clouds,-34.0033,24.7314,Oyster Bay House Rental
120,Victoria,HK,76.32,clear sky,22.2855,114.1577,Mini Hotel Central
121,San-Pedro,CI,83.23,broken clouds,4.7485,-6.6363,Hotel Maria
122,Nhulunbuy,AU,81.21,scattered clouds,-12.2333,136.7667,East Arnhem Real Estate
126,Sinnamary,GF,80.04,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
131,Olinda,BR,83.59,broken clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
132,Sai Buri,TH,77.32,scattered clouds,6.7013,101.6168,ร้าน​ เวดดิ้ง
139,Richmond,US,73.24,few clouds,37.5538,-77.4603,"Holiday Inn Express Richmond - Downtown, an IHG Hotel"
141,Hithadhoo,MV,84.11,broken clouds,-0.6,73.0833,Scoop Guest House
142,Aden,YE,81.46,clear sky,12.7794,45.0367,Sama Emirate Hotel
145,Manokwari,ID,76.68,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
150,Kieta,PG,79.11,scattered clouds,-6.2167,155.6333,Uruna Bay Retreat
152,Maragogi,BR,82.94,broken clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
153,Rio Grande,BR,80.71,light rain,-32.035,-52.0986,Hotel Atlântico Rio Grande
155,Elat,IL,80.44,clear sky,29.5581,34.9482,Club Hotel Eilat
158,Owo,NG,78.84,moderate rain,7.1962,5.5868,The Chancery Hotel and Resort limited
166,Chuy,UY,74.26,overcast clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
168,Kouango,CF,79.32,overcast clouds,4.9934,19.9619,
170,Mount Isa,AU,78.57,light rain,-20.7333,139.5,ibis Styles Mt Isa Verona
173,Cidreira,BR,70.07,overcast clouds,-30.1811,-50.2056,Hotel Castelo
174,Payo,ID,72.05,broken clouds,-3.7508,103.6372,Mess keban agung
176,Bonthe,SL,82.65,overcast clouds,7.5264,-12.505,Bonthe Holiday Village
177,Kahului,US,75.85,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
179,Komsomolskiy,UZ,73.96,light rain,40.4272,71.7189,Ikathouse
182,Phangnga,TH,78.84,scattered clouds,8.4509,98.5298,Sunimit Mansion
183,Touros,BR,84.97,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
184,Nago,JP,72.45,scattered clouds,26.5881,127.9761,Hotel Yugaf Inn Okinawa
186,Quelimane,MZ,74.01,light rain,-17.8786,36.8883,Hotel Flamingo
189,Redlands,US,70.2,overcast clouds,34.0556,-117.1825,Dynasty Suites Redlands
190,Beira,MZ,77.09,scattered clouds,-19.8436,34.8389,Beira Terrace Hotel
191,Bonawon,PH,79.02,light rain,9.134,122.9193,Bonawon
196,Tura,IN,71.11,few clouds,25.5198,90.2201,Hotel RIKMAN Continental
198,Muli,MV,84.4,scattered clouds,2.9167,73.5667,Medhufushi Island Resort
201,San Policarpo,PH,78.96,heavy intensity rain,12.1791,125.5072,Agapita M. Nicart
204,Ibaiti,BR,77.79,broken clouds,-23.8486,-50.1878,Hotel Moraes
