City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
133,Angol,CL,-37.8,-72.7167,64.17,38,53,4.61,broken clouds
134,Ketchikan,US,55.3422,-131.6461,36.46,69,75,8.79,broken clouds
135,Kitami,JP,43.8031,143.8908,40.12,78,94,7.29,overcast clouds
136,Khovu-Aksy,RU,51.1333,93.6,22.23,85,96,1.54,overcast clouds
137,Lompoc,US,34.6391,-120.4579,67.01,66,12,27.0,few clouds
138,Lebu,CL,-37.6167,-73.65,55.71,67,96,6.53,overcast clouds
139,Richmond,US,37.5538,-77.4603,73.24,43,24,4.0,few clouds
140,Klaksvik,FO,62.2266,-6.589,40.12,71,100,23.91,overcast clouds
141,Hithadhoo,MV,-0.6,73.0833,84.11,67,65,11.25,broken clouds
142,Aden,YE,12.7794,45.0367,81.46,79,0,11.27,clear sky
143,Grenville,GD,12.1167,-61.6167,86.05,77,27,17.45,scattered clouds
144,Ilulissat,GL,69.2167,-51.1,28.42,59,75,3.44,broken clouds
145,Manokwari,ID,-0.8667,134.0833,76.68,89,100,11.3,overcast clouds
146,Shu,KZ,43.5983,73.7614,60.67,53,100,4.97,overcast clouds
147,Qaqortoq,GL,60.7167,-46.0333,39.56,46,91,10.92,overcast clouds
148,Hami,CN,42.8,93.45,53.22,13,21,12.21,few clouds
149,Sebrovo,RU,50.0981,43.2976,58.82,70,6,12.48,clear sky
150,Kieta,PG,-6.2167,155.6333,79.11,82,45,0.83,scattered clouds
151,Gulu,UG,2.7746,32.299,66.29,97,93,7.09,heavy intensity rain
152,Maragogi,BR,-9.0122,-35.2225,82.94,63,68,7.92,broken clouds
153,Rio Grande,BR,-32.035,-52.0986,80.71,61,100,17.87,light rain
154,Lebork,PL,54.5392,17.7501,41.92,72,43,6.96,scattered clouds
155,Elat,IL,29.5581,34.9482,80.44,24,0,12.66,clear sky
156,Odoyev,RU,53.9393,36.6864,36.23,97,100,9.19,overcast clouds
157,Newala,TZ,-10.9431,39.2787,66.88,98,67,4.0,broken clouds
158,Owo,NG,7.1962,5.5868,78.84,74,76,6.04,moderate rain
159,Ribeira Grande,PT,38.5167,-28.7,63.0,88,75,26.46,broken clouds
160,Saint Paul,US,44.9444,-93.0933,58.75,46,0,9.22,clear sky
161,Sterling,US,39.0062,-77.4286,65.86,43,75,10.0,broken clouds
162,Naze,JP,28.3667,129.4833,66.87,91,85,3.2,overcast clouds
163,Kodiak,US,57.79,-152.4072,42.31,36,0,10.36,clear sky
164,Bethel,US,41.3712,-73.414,62.19,38,0,6.91,clear sky
165,Kedougou,SN,12.5579,-12.1743,105.42,9,43,3.2,scattered clouds
166,Chuy,UY,-33.6971,-53.4616,74.26,78,93,9.84,overcast clouds
167,Wajir,KE,1.7471,40.0573,92.21,35,100,4.92,overcast clouds
168,Kouango,CF,4.9934,19.9619,79.32,58,95,4.14,overcast clouds
